"epoch","yv5s-coco-zipf-cas - _step","yv5s-coco-zipf-cas - _step__MIN","yv5s-coco-zipf-cas - _step__MAX","yv5s-coco-zipf-cas - map","yv5s-coco-zipf-cas - map__MIN","yv5s-coco-zipf-cas - map__MAX","yv5s-coco-zipf-rf-mean - _step","yv5s-coco-zipf-rf-mean - _step__MIN","yv5s-coco-zipf-rf-mean - _step__MAX","yv5s-coco-zipf-rf-mean - map","yv5s-coco-zipf-rf-mean - map__MIN","yv5s-coco-zipf-rf-mean - map__MAX","yv5s-coco-zipf - _step","yv5s-coco-zipf - _step__MIN","yv5s-coco-zipf - _step__MAX","yv5s-coco-zipf - map","yv5s-coco-zipf - map__MIN","yv5s-coco-zipf - map__MAX"
"10","132","132","132","0.13054609298706055","0.13054609298706055","0.13054609298706055","132","132","132","0.13417160511016846","0.13417160511016846","0.13417160511016846","132","132","132","0.1204842996448922","0.1204842996448922","0.1204842996448922"
"11","144","144","144","0.11632373183965683","0.11632373183965683","0.11632373183965683","144","144","144","0.1323680728673935","0.1323680728673935","0.1323680728673935","144","144","144","0.13241507584412507","0.13241507584412507","0.13241507584412507"
"12","156","156","156","0.12312372773885727","0.12312372773885727","0.12312372773885727","156","156","156","0.13487552106380463","0.13487552106380463","0.13487552106380463","156","156","156","0.13666377030322482","0.13666377030322482","0.13666377030322482"
"13","168","168","168","0.14828859269618988","0.14828859269618988","0.14828859269618988","168","168","168","0.13805265724658966","0.13805265724658966","0.13805265724658966","168","168","168","0.13008036305371434","0.13008036305371434","0.13008036305371434"
"14","180","180","180","0.14911037683486938","0.14911037683486938","0.14911037683486938","180","180","180","0.1497117429971695","0.1497117429971695","0.1497117429971695","180","180","180","0.13144993364843832","0.13144993364843832","0.13144993364843832"
"15","192","192","192","0.15853232145309448","0.15853232145309448","0.15853232145309448","192","192","192","0.159640371799469","0.159640371799469","0.159640371799469","192","192","192","0.14084643513602368","0.14084643513602368","0.14084643513602368"
"16","204","204","204","0.16391904652118683","0.16391904652118683","0.16391904652118683","204","204","204","0.16037607192993164","0.16037607192993164","0.16037607192993164","204","204","204","0.1508383308871487","0.1508383308871487","0.1508383308871487"
"17","216","216","216","0.15999770164489746","0.15999770164489746","0.15999770164489746","216","216","216","0.16263552010059357","0.16263552010059357","0.16263552010059357","216","216","216","0.15227538590827422","0.15227538590827422","0.15227538590827422"
"18","228","228","228","0.15679991245269775","0.15679991245269775","0.15679991245269775","228","228","228","0.1637878566980362","0.1637878566980362","0.1637878566980362","228","228","228","0.14580788954994645","0.14580788954994645","0.14580788954994645"
"19","241","241","241","0.18072427809238434","0.18072427809238434","0.18072427809238434","241","241","241","0.17139661312103271","0.17139661312103271","0.17139661312103271","241","241","241","0.17352090004918702","0.17352090004918702","0.17352090004918702"
"20","253","253","253","0.1879461407661438","0.1879461407661438","0.1879461407661438","253","253","253","0.17617826163768768","0.17617826163768768","0.17617826163768768","253","253","253","0.16673111551532913","0.16673111551532913","0.16673111551532913"
"21","265","265","265","0.18418987095355988","0.18418987095355988","0.18418987095355988","265","265","265","0.1879504770040512","0.1879504770040512","0.1879504770040512","265","265","265","0.1673112996538246","0.1673112996538246","0.1673112996538246"
"22","277","277","277","0.18812774121761322","0.18812774121761322","0.18812774121761322","277","277","277","0.19379885494709015","0.19379885494709015","0.19379885494709015","277","277","277","0.1773498595621083","0.1773498595621083","0.1773498595621083"
"23","289","289","289","0.18447552621364594","0.18447552621364594","0.18447552621364594","289","289","289","0.1940489560365677","0.1940489560365677","0.1940489560365677","289","289","289","0.1864430356572996","0.1864430356572996","0.1864430356572996"
"24","301","301","301","0.19543981552124023","0.19543981552124023","0.19543981552124023","301","301","301","0.18318979442119598","0.18318979442119598","0.18318979442119598","301","301","301","0.1933598129471625","0.1933598129471625","0.1933598129471625"
"25","313","313","313","0.20046910643577576","0.20046910643577576","0.20046910643577576","313","313","313","0.1846180111169815","0.1846180111169815","0.1846180111169815","313","313","313","0.19946727955683227","0.19946727955683227","0.19946727955683227"
"26","325","325","325","0.20666980743408203","0.20666980743408203","0.20666980743408203","325","325","325","0.18622155487537384","0.18622155487537384","0.18622155487537384","325","325","325","0.18337249818736454","0.18337249818736454","0.18337249818736454"
